votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,total_area,pop_density,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_young,age_adult,age_old,ethnic_male,ethnic_female
709,0.025,0.013925319058722083,0.6325773919721013,0.16,0.03440187647,0.01209677419,-0.3096682404543773,0.22453585027251244,-0.15164958677619944,0.968253968,0.001587302,0.014285714,0.0,0.008730159,0.00562698413,0,Sioux County,NE,Educated,CHRISTIAN GENERIC,0.26666666699999997,0.31825396699999997,0.35079365,MULTI MALE RATE,NATIVE AMERICAN FEMALE RATE
208980,0.077,-0.4340247641042549,0.1753005800854421,0.233,0.1202821044,0.1928272981,1.6715405335770743,-0.29182491182875797,4.295714575073868,0.316983705,0.629271736,0.004359579,0.000916621,0.009735482,0.00336062292,1,Baltimore city,MD,Educated,OTHER MISC,0.322959433,0.43520211499999994,0.205249184,WHITE MALE RATE,WHITE FEMALE RATE
77261,0.027000000000000003,1.2206125585868965,1.7221836656352876,0.11,0.056108021179999995,0.05049699146,0.18666188595246266,-0.1540048077400398,0.01712170570767526,0.912208301,0.025504703,0.002509574,0.000539094,0.010317136,0.00478746081,1,Chittenden County,VT,Educated,MAINLINE CHRISTIAN,0.34270240900000004,0.38566259,0.22196403499999998,ASIAN MALE RATE,BLACK FEMALE RATE
7471,0.125,-0.3224092948775995,0.11829445662431275,0.174,0.06386687797,0.1007853403,-0.29608609751548337,1.6924787558078476,-0.15118577010156153,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,0.0117820533,0,Prince of Wales-Hyder Census Area,AK,Uneducated,OTHER MISC,0.319733914,0.390365411,0.221781173,BLACK MALE RATE,BLACK FEMALE RATE
136392,0.039,1.6052311977294158,2.2950513555554366,0.08199999999999999,0.04265532508,0.052548793729999994,0.29375235101727254,-0.10114305401815932,0.03144204553712117,0.892834451,0.055987469,0.003450406,0.000847158,0.009552594,0.00601800212,0,St. Johns County,FL,Educated,MAINLINE CHRISTIAN,0.286295446,0.377837098,0.26188227999999997,BLACK MALE RATE,BLACK FEMALE RATE
14277,0.062,-0.7587017623657925,-0.4221235937871935,0.217,0.09650803963,0.14142552930000002,-0.21284431516753075,-0.1437424705441686,-0.12387856338225373,0.799802793,0.169312001,0.007602023,0.000222653,0.009955787,0.00454117497,0,Jefferson Davis Parish,LA,Uneducated,NON-CATHOLIC CHRISTIAN,0.34848436600000005,0.37176755100000003,0.235090175,BLACK MALE RATE,BLACK FEMALE RATE
22129,0.028999999999999998,0.8265686131541264,0.87884384532418,0.10400000000000001,0.04584937552999999,0.06,-0.1740034789100724,-0.17159925289169767,-0.1048041026377691,0.966113529,0.006656271,0.003770335,0.000186189,0.007610492,0.00515023157,0,Sullivan County,NH,Educated,MAINLINE CHRISTIAN,0.261875392,0.37184350699999996,0.291363139,MULTI MALE RATE,BLACK FEMALE RATE
1206,0.028999999999999998,-0.11860771588226207,1.5908064764894847,0.102,0.019728189389999998,0.01851851852,-0.30636862380820534,-0.05744316781322443,-0.15060599925826412,0.962272149,0.007206443,0.007630352,0.000847817,0.007630352,0.0051123357400000005,0,Adams County,ND,Educated,MAINLINE CHRISTIAN,0.256040694,0.318779144,0.354811359,MULTI MALE RATE,NATIVE AMERICAN FEMALE RATE
7678,0.059000000000000004,-0.2962003291406738,-0.22128663574721472,0.147,0.04537676659,0.06067610517,-0.26064399429570023,-0.1592562176805658,-0.13506814065789366,0.961320237,0.020682082,0.002989445,0.000366055,0.005002745,0.00468427796,0,Crawford County,WI,Uneducated,MAINLINE CHRISTIAN,0.279848698,0.346409614,0.30291013299999997,BLACK MALE RATE,BLACK FEMALE RATE
3598,0.065,-0.9108295130154561,-1.1723241785356557,0.239,0.09752977069,0.17667322829999998,-0.2754602961739569,-0.25022140729246517,-0.12405249463524295,0.654264654,0.317743068,0.004826255,0.000789751,0.005089505,0.0031572481600000003,0,Pulaski County,GA,Uneducated,MAINLINE CHRISTIAN,0.27711477799999995,0.38917164000000004,0.271147771,BLACK MALE RATE,BLACK FEMALE RATE
